,文物编号,label,纹饰,类型,颜色,表面风化,文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
16,14,0,C,高钾,深绿,无风化,14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,
18,16,0,C,高钾,浅蓝,无风化,16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,,0.04,,
20,18,1,A,高钾,深蓝,无风化,18,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,
21,19,3,A,铅钡,,风化,19,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,
22,20,3,A,铅钡,浅蓝,无风化,20,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,
23,21,1,A,高钾,蓝绿,无风化,21,76.68,,,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,,,
24,22,1,B,高钾,蓝绿,风化,22,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,
25,23,3,A,铅钡,蓝绿,无风化,23未风化点,53.79,7.92,,0.5,0.71,1.42,,2.99,16.98,11.86,,0.33,,
26,24,3,C,铅钡,紫,无风化,24,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,
27,25,3,C,铅钡,浅蓝,无风化,25未风化点,50.61,2.31,,0.63,,1.9,1.55,1.12,31.9,6.65,0.19,0.2,,
28,26,4,C,铅钡,紫,风化,26,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96
29,26,4,C,铅钡,紫,风化,26严重风化点,3.72,,0.4,3.01,,1.18,,3.6,29.92,35.45,6.04,0.62,,15.95
30,27,1,B,高钾,蓝绿,风化,27,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,
31,28,3,A,铅钡,浅蓝,无风化,28未风化点,68.08,,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,
32,29,3,A,铅钡,浅蓝,无风化,29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,,
33,30,4,A,铅钡,深蓝,无风化,30部位1,34.34,,1.41,4.49,0.98,4.35,2.12,,39.22,10.29,,0.35,0.4,
34,30,4,A,铅钡,深蓝,无风化,30部位2,36.93,,,4.24,0.51,3.86,2.74,,37.74,10.35,1.41,0.48,0.44,
35,31,3,C,铅钡,紫,无风化,31,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,
36,32,3,C,铅钡,浅绿,无风化,32,69.71,,0.21,0.46,,2.36,1,0.11,19.76,4.88,0.17,,,
37,33,3,C,铅钡,深绿,无风化,33,75.51,,0.15,0.64,1,2.35,,0.47,16.16,3.55,0.13,,,
38,34,4,C,铅钡,深绿,风化,34,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10,0.34,0.22,,
39,35,3,C,铅钡,浅绿,无风化,35,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,
40,36,4,C,铅钡,深绿,风化,36,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,
41,37,3,C,铅钡,深绿,无风化,37,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66
42,38,4,C,铅钡,深绿,风化,38,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,
43,39,4,C,铅钡,深绿,风化,39,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,
44,40,4,C,铅钡,,风化,40,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,
45,41,4,C,铅钡,浅绿,风化,41,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,
46,42,3,A,铅钡,浅蓝,无风化,42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,,2.67,21.88,10.47,0.08,0.35,,
47,42,3,A,铅钡,浅蓝,无风化,42未风化点2,51.33,5.68,0.35,,1.16,5.66,,2.72,20.12,10.88,,,,
48,43,4,C,铅钡,浅蓝,风化,43部位1,12.41,,,5.24,0.89,2.25,0.76,5.35,59.85,7.29,,0.64,,
49,43,4,C,铅钡,浅蓝,风化,43部位2,21.7,,,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,,
50,44,3,A,铅钡,浅蓝,无风化,44未风化点,60.74,3.06,0.2,2.14,,12.69,0.77,0.43,13.61,5.22,,0.26,,
51,45,3,A,铅钡,浅蓝,无风化,45,61.28,2.66,0.11,0.84,0.74,5,,0.53,15.99,10.96,,0.23,,
52,46,3,A,铅钡,浅蓝,无风化,46,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,
53,47,3,A,铅钡,浅蓝,无风化,47,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,
54,48,3,A,铅钡,,风化,48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,
55,49,3,A,铅钡,黑,风化,49,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,
56,49,3,A,铅钡,黑,未风化,49未风化点,54.61,,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,,
57,50,4,A,铅钡,黑,风化,50,17.98,,,3.19,0.47,1.87,0.33,1.13,44,14.2,6.34,0.66,,
58,50,3,A,铅钡,黑,无风化,50未风化点,45.02,,,3.12,0.54,4.16,,0.7,30.61,6.22,6.34,0.23,,
59,51,4,C,铅钡,浅蓝,风化,51部位1,24.61,,,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,
60,51,4,C,铅钡,浅蓝,风化,51部位2,21.35,,,5.13,1.45,2.51,0.42,0.75,51.34,,8.75,,,
61,52,4,C,铅钡,浅蓝,风化,52,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,
62,53,3,A,铅钡,浅蓝,无风化,53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,,0.54,13.66,8.99,,0.27,,
63,54,4,C,铅钡,浅蓝,风化,54,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,
64,54,4,C,铅钡,浅蓝,风化,54严重风化点,17.11,,,,1.11,3.65,,1.34,58.46,,14.13,1.12,,
65,55,3,C,铅钡,绿,无风化,55,49.01,2.71,,1.13,,1.45,,0.86,32.92,7.95,0.35,,,
66,56,4,C,铅钡,蓝绿,风化,56,29.15,,,1.21,,1.85,,0.79,41.25,15.45,2.54,,,
67,57,4,C,铅钡,蓝绿,风化,57,25.42,,,1.31,,2.18,,1.16,45.1,17.3,,,,
68,58,4,C,铅钡,,风化,58,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,
